,Nome,Sexo,Profissão,Salário atual,Estado Civil,Predição KNN,Predição Árvore
238,Ana Sophia Aragão,Feminino,Motorista,0.0,Viúvo,Provável Mal Pagador,Provável Pagador Regular
239,Emilly Moreira,Masculino,Desenvolvedor Back-End,3382.07,Divorciado,Provável Mal Pagador,Provável Pagador Regular
240,Rafael Cunha,Masculino,Desenvolvedor Back-End,4161.39,Viúvo,Provável Mal Pagador,Provável Pagador Regular
241,Daniela Alves,Feminino,Desenvolvedor Front-End,0.0,Divorciado,Provável Mal Pagador,Provável Pagador Regular
242,Lucca Pinto,Masculino,Eletricista,0.0,Solteiro,Provável Mal Pagador,Provável Pagador Regular
243,Srta. Maria Vieira,Feminino,Desenvolvedor de Software,14561.54,Divorciado,Provável Mal Pagador,Provável Pagador Regular
244,Stella da Conceição,Feminino,Médico Pediatra,19806.62,Casado,Provável Mal Pagador,Provável Pagador Regular
245,Diogo Novaes,Masculino,Psicólogo,0.0,Solteiro,Provável Mal Pagador,Provável Pagador Regular
246,Lucca Moura,Masculino,Técnico de Enfermagem,0.0,Solteiro,Provável Pagador Regular,Provável Pagador Regular
247,Ana Júlia Costa,Masculino,Agente de Suporte,2260.99,Solteiro,Provável Mal Pagador,Provável Pagador Regular
248,Dr. Luiz Otávio da Paz,Masculino,Advogado,11043.2,Solteiro,Provável Mal Pagador,Provável Pagador Regular
249,Gustavo da Conceição,Masculino,Engenheiro Civil,0.0,Viúvo,Provável Mal Pagador,Provável Pagador Regular
250,Emilly Santos,Feminino,Designer Gráfico,0.0,Viúvo,Provável Mal Pagador,Provável Pagador Regular
251,Sra. Camila Sales,Masculino,Analista de BI,6259.04,Viúvo,Provável Pagador Regular,Provável Pagador Regular
252,Eduarda Martins,Feminino,Operador de Máquinas,7651.3,Solteiro,Provável Mal Pagador,Provável Pagador Regular
253,Carlos Eduardo Pinto,Feminino,Analista de Segurança da Informação,13881.32,Casado,Provável Pagador Regular,Provável Pagador Regular
254,Gabriela Duarte,Feminino,Analista Financeiro,0.0,Divorciado,Provável Mal Pagador,Provável Pagador Regular
255,Eduarda Nascimento,Feminino,Analista de Segurança da Informação,18371.53,Casado,Provável Pagador Regular,Provável Pagador Regular
256,Danilo Melo,Feminino,Professor Universitário,10053.78,Solteiro,Provável Mal Pagador,Provável Pagador Regular
257,Davi Lucca Ribeiro,Masculino,Gerente de Projetos,10607.13,Casado,Provável Pagador Regular,Provável Pagador Regular
258,Marcela Moreira,Masculino,Fotógrafo,0.0,Divorciado,Provável Pagador Regular,Provável Pagador Regular
259,Lucca Martins,Feminino,Arquiteto,5950.94,Viúvo,Provável Mal Pagador,Provável Pagador Regular
260,Rafael Lima,Feminino,Arquiteto,10378.03,Casado,Provável Mal Pagador,Provável Pagador Regular
261,Maria Julia da Rosa,Masculino,Enfermeiro,0.0,Solteiro,Provável Mal Pagador,Provável Pagador Regular
262,Manuela Barbosa,Feminino,Arquiteto de Dados,0.0,Viúvo,Provável Mal Pagador,Provável Pagador Regular
263,Alícia da Luz,Feminino,Consultor de Vendas,0.0,Divorciado,Provável Mal Pagador,Provável Pagador Regular
264,Evelyn Lopes,Masculino,Publicitário,0.0,Divorciado,Provável Mal Pagador,Provável Pagador Regular
265,João Miguel Ramos,Feminino,Analista Financeiro,0.0,Divorciado,Provável Mal Pagador,Provável Pagador Regular
266,Ana Carolina Alves,Feminino,Assistente Administrativo,0.0,Viúvo,Provável Pagador Regular,Provável Pagador Regular
267,Dra. Rebeca Lima,Feminino,Analista de Sistemas,19799.23,Viúvo,Provável Mal Pagador,Provável Pagador Regular
268,Sr. Enrico Gomes,Feminino,Advogado,19725.33,Solteiro,Provável Mal Pagador,Provável Pagador Regular
269,Cecília da Luz,Feminino,Assistente Administrativo,0.0,Casado,Provável Mal Pagador,Provável Pagador Regular
270,Dra. Bruna Melo,Feminino,Recepcionista,0.0,Viúvo,Provável Mal Pagador,Provável Pagador Regular
271,Pedro Miguel Duarte,Masculino,Advogado,0.0,Divorciado,Provável Mal Pagador,Provável Pagador Regular
272,Sr. Lucca da Mata,Feminino,Cientista de Dados,13780.11,Viúvo,Provável Mal Pagador,Provável Pagador Regular
273,Juliana Farias,Masculino,Vendedor,9844.69,Casado,Provável Pagador Regular,Provável Pagador Regular
274,Erick da Costa,Masculino,Chefe de Cozinha,0.0,Casado,Provável Pagador Regular,Provável Pagador Regular
275,Erick Silva,Feminino,Operador de Máquinas,0.0,Divorciado,Provável Mal Pagador,Provável Pagador Regular
276,Maria Sophia da Paz,Feminino,Desenvolvedor de Software,14797.32,Casado,Provável Mal Pagador,Provável Pagador Regular
277,Augusto Azevedo,Masculino,Desenvolvedor de Software,0.0,Casado,Provável Mal Pagador,Provável Pagador Regular
278,Amanda Lopes,Feminino,Analista de Sistemas,0.0,Divorciado,Provável Mal Pagador,Provável Pagador Regular
279,João Miguel Fogaça,Feminino,Analista Financeiro,14122.16,Viúvo,Provável Pagador Regular,Provável Pagador Regular
280,Yago Rezende,Masculino,Desenvolvedor Front-End,0.0,Casado,Provável Mal Pagador,Provável Pagador Regular
281,Danilo Nogueira,Feminino,Desenvolvedor Back-End,0.0,Divorciado,Provável Pagador Regular,Provável Pagador Regular
282,Emanuelly Azevedo,Masculino,Motorista,15551.23,Divorciado,Provável Pagador Regular,Provável Pagador Regular
283,Gabrielly Araújo,Feminino,Analista Financeiro,0.0,Viúvo,Provável Mal Pagador,Provável Pagador Regular
284,Rafael Viana,Masculino,Analista de Sistemas,0.0,Solteiro,Provável Mal Pagador,Provável Pagador Regular
285,Júlia Novaes,Masculino,Assistente de RH,0.0,Divorciado,Provável Pagador Regular,Provável Pagador Regular
286,Dra. Mariane Oliveira,Feminino,Analista de Sistemas,0.0,Casado,Provável Mal Pagador,Provável Pagador Regular
287,Benjamin Dias,Masculino,Gerente de Projetos,0.0,Viúvo,Provável Mal Pagador,Provável Pagador Regular
288,Caio Santos,Feminino,Gerente de Projetos,0.0,Solteiro,Provável Mal Pagador,Provável Pagador Regular
289,Joaquim Barros,Masculino,Arquiteto,0.0,Solteiro,Provável Mal Pagador,Provável Pagador Regular
290,Maria Vitória Fernandes,Masculino,Analista de Segurança da Informação,0.0,Casado,Provável Mal Pagador,Provável Pagador Regular
291,Sr. Rafael Gomes,Feminino,Eletricista,9206.26,Solteiro,Provável Pagador Regular,Provável Pagador Regular
292,Sr. Bruno Aragão,Feminino,Analista de Marketing,11218.17,Solteiro,Provável Mal Pagador,Provável Pagador Regular
293,Sra. Caroline da Rocha,Feminino,Analista Financeiro,0.0,Solteiro,Provável Mal Pagador,Provável Pagador Regular
294,Bárbara Jesus,Feminino,Enfermeiro,5656.73,Viúvo,Provável Pagador Regular,Provável Pagador Regular
295,Isabelly Lima,Feminino,Publicitário,7589.39,Solteiro,Provável Mal Pagador,Provável Pagador Regular
296,Sra. Sofia Campos,Feminino,Técnico de Informática,0.0,Solteiro,Provável Mal Pagador,Provável Pagador Regular
297,Dr. Lucca da Luz,Feminino,Agente de Suporte,0.0,Viúvo,Provável Mal Pagador,Provável Pagador Regular
298,Srta. Mariana Martins,Masculino,Enfermeiro,10115.68,Solteiro,Provável Mal Pagador,Provável Pagador Regular
299,Dr. João Felipe Pinto,Feminino,Desenvolvedor Front-End,5215.86,Solteiro,Provável Mal Pagador,Provável Pagador Regular
300,Dra. Agatha Lima,Feminino,Analista de BI,13936.85,Viúvo,Provável Mal Pagador,Provável Pagador Regular
301,Davi Caldeira,Masculino,Professor,14344.3,Casado,Provável Mal Pagador,Provável Pagador Regular
302,Sr. Theo Jesus,Feminino,Contador,0.0,Divorciado,Provável Mal Pagador,Provável Pagador Regular
303,Felipe Farias,Masculino,Arquiteto de Dados,5556.33,Casado,Provável Mal Pagador,Provável Pagador Regular
304,Luiza Silva,Masculino,Analista de Segurança da Informação,10612.9,Viúvo,Provável Pagador Regular,Provável Pagador Regular
305,Sabrina Lopes,Feminino,Cientista de Dados,0.0,Divorciado,Provável Mal Pagador,Provável Pagador Regular
306,Isaac Almeida,Feminino,Assistente de RH,0.0,Casado,Provável Mal Pagador,Provável Pagador Regular
307,Daniel Cunha,Masculino,Desenvolvedor Back-End,19205.37,Casado,Provável Pagador Regular,Provável Pagador Regular
308,Isabella Freitas,Feminino,Técnico de Enfermagem,0.0,Viúvo,Provável Mal Pagador,Provável Pagador Regular
309,Maria Clara Campos,Feminino,Operador de Máquinas,0.0,Viúvo,Provável Pagador Regular,Provável Pagador Regular
310,Henrique Araújo,Masculino,Engenheiro de Dados,11487.06,Solteiro,Provável Mal Pagador,Provável Pagador Regular
311,Leonardo Rodrigues,Masculino,Cientista de Dados,9918.33,Casado,Provável Mal Pagador,Provável Pagador Regular
312,Alice da Conceição,Feminino,Médico Pediatra,8058.92,Solteiro,Provável Mal Pagador,Provável Pagador Regular
313,Laura Teixeira,Masculino,Gerente de Projetos,3078.13,Casado,Provável Mal Pagador,Provável Pagador Regular
314,Antônio Ramos,Feminino,Agente de Suporte,6800.28,Viúvo,Provável Mal Pagador,Provável Pagador Regular
315,Pedro Pires,Feminino,Arquiteto,0.0,Solteiro,Provável Pagador Regular,Provável Pagador Regular
316,Noah das Neves,Feminino,Recepcionista,0.0,Divorciado,Provável Mal Pagador,Provável Pagador Regular
317,Nathan da Luz,Feminino,Advogado,0.0,Viúvo,Provável Pagador Regular,Provável Pagador Regular
318,Cecília Almeida,Feminino,Assistente de RH,0.0,Solteiro,Provável Mal Pagador,Provável Pagador Regular
319,Sra. Ana Beatriz da Costa,Feminino,Técnico de Enfermagem,0.0,Divorciado,Provável Mal Pagador,Provável Pagador Regular
320,Ana Beatriz Silveira,Masculino,Médico Pediatra,0.0,Viúvo,Provável Mal Pagador,Provável Pagador Regular
321,Alexia Moreira,Feminino,Designer Gráfico,0.0,Casado,Provável Mal Pagador,Provável Pagador Regular
322,Alice Santos,Feminino,Técnico de Enfermagem,0.0,Viúvo,Provável Mal Pagador,Provável Pagador Regular
323,Nathan Fernandes,Masculino,Assistente Administrativo,14929.94,Solteiro,Provável Pagador Regular,Provável Pagador Regular
324,Thales Azevedo,Feminino,Analista de BI,0.0,Casado,Provável Mal Pagador,Provável Pagador Regular
325,Emanuel Araújo,Feminino,Motorista,0.0,Casado,Provável Mal Pagador,Provável Pagador Regular
326,Benjamin Jesus,Masculino,Desenvolvedor Front-End,18126.52,Divorciado,Provável Mal Pagador,Provável Pagador Regular
327,Júlia Silveira,Feminino,Engenheiro de Dados,6986.88,Divorciado,Provável Mal Pagador,Provável Pagador Regular
328,Guilherme Gomes,Feminino,Fotógrafo,4619.11,Divorciado,Provável Pagador Regular,Provável Pagador Regular
329,Alícia Nunes,Masculino,Engenheiro de Software,4559.75,Casado,Provável Mal Pagador,Provável Pagador Regular
330,Ana Sophia Castro,Masculino,Contador,0.0,Solteiro,Provável Mal Pagador,Provável Pagador Regular
331,João Miguel Souza,Masculino,Motorista,0.0,Solteiro,Provável Mal Pagador,Provável Pagador Regular
332,Davi Lucca da Cruz,Feminino,Eletricista,0.0,Solteiro,Provável Pagador Regular,Provável Pagador Regular
333,Matheus Oliveira,Feminino,Engenheiro de Software,13988.84,Casado,Provável Mal Pagador,Provável Pagador Regular
334,Sarah Pinto,Masculino,Agente de Suporte,0.0,Solteiro,Provável Mal Pagador,Provável Pagador Regular
335,Emanuella Cavalcanti,Masculino,Professor Universitário,0.0,Solteiro,Provável Mal Pagador,Provável Pagador Regular
336,Isaac da Paz,Feminino,Arquiteto de Dados,0.0,Casado,Provável Mal Pagador,Provável Pagador Regular
337,Luiza Farias,Masculino,Técnico de Informática,10135.64,Solteiro,Provável Mal Pagador,Provável Pagador Regular
338,Srta. Maria Porto,Masculino,Contador,13744.83,Solteiro,Provável Mal Pagador,Provável Pagador Regular
339,Srta. Manuela da Rosa,Feminino,Analista de Sistemas,13837.96,Casado,Provável Mal Pagador,Provável Pagador Regular
340,Valentina Cardoso,Masculino,Analista de Marketing,6814.39,Casado,Provável Mal Pagador,Provável Pagador Regular
341,Rebeca Santos,Masculino,Gerente de Projetos,0.0,Viúvo,Provável Mal Pagador,Provável Pagador Regular
342,Samuel Viana,Feminino,Engenheiro Civil,0.0,Viúvo,Provável Mal Pagador,Provável Pagador Regular
343,Leandro Fernandes,Feminino,Contador,19620.85,Viúvo,Provável Mal Pagador,Provável Pagador Regular
344,Igor Ferreira,Feminino,Publicitário,9602.99,Divorciado,Provável Pagador Regular,Provável Pagador Regular
345,Sr. Carlos Eduardo Carvalho,Feminino,Consultor de Vendas,9001.3,Solteiro,Provável Mal Pagador,Provável Pagador Regular
346,Sr. Enzo Ferreira,Feminino,Publicitário,2924.24,Viúvo,Provável Mal Pagador,Provável Pagador Regular
347,Nicole Almeida,Masculino,Analista Financeiro,0.0,Divorciado,Provável Pagador Regular,Provável Pagador Regular
348,João Pedro Fogaça,Masculino,Desenvolvedor Front-End,5582.58,Divorciado,Provável Mal Pagador,Provável Pagador Regular
349,Henrique da Cruz,Feminino,Engenheiro de Software,14264.79,Solteiro,Provável Mal Pagador,Provável Pagador Regular
350,Alice Lima,Masculino,Eletricista,7109.93,Viúvo,Provável Mal Pagador,Provável Pagador Regular
351,João Gabriel Martins,Feminino,Psicólogo,0.0,Solteiro,Provável Mal Pagador,Provável Pagador Regular
352,Srta. Emanuelly Duarte,Masculino,Analista de BI,0.0,Casado,Provável Mal Pagador,Provável Pagador Regular
353,Vitor Sales,Feminino,Contador,0.0,Casado,Provável Mal Pagador,Provável Pagador Regular
354,Diego Peixoto,Feminino,Consultor de Vendas,0.0,Divorciado,Provável Pagador Regular,Provável Pagador Regular
355,Mariane da Luz,Feminino,Técnico de Informática,0.0,Casado,Provável Mal Pagador,Provável Pagador Regular
356,Caroline Cardoso,Masculino,Recepcionista,11655.06,Viúvo,Provável Mal Pagador,Provável Pagador Regular
357,Heloísa Cunha,Feminino,Técnico de Informática,0.0,Solteiro,Provável Mal Pagador,Provável Pagador Regular
358,Dr. Gabriel Correia,Masculino,Analista de Sistemas,11656.51,Solteiro,Provável Pagador Regular,Provável Pagador Regular
359,Nicolas Cardoso,Feminino,Farmacêutico,0.0,Viúvo,Provável Pagador Regular,Provável Pagador Regular
360,Ryan Ferreira,Masculino,Consultor de Vendas,0.0,Solteiro,Provável Mal Pagador,Provável Pagador Regular
361,Ana Carolina Costela,Masculino,Desenvolvedor Front-End,6884.93,Casado,Provável Mal Pagador,Provável Pagador Regular
362,Mariane da Conceição,Masculino,Engenheiro de Software,0.0,Solteiro,Provável Mal Pagador,Provável Pagador Regular
363,Srta. Ana Clara Cardoso,Feminino,Analista de Marketing,7535.28,Solteiro,Provável Mal Pagador,Provável Pagador Regular
364,Dr. Miguel Campos,Masculino,Engenheiro Civil,0.0,Casado,Provável Mal Pagador,Provável Pagador Regular
365,Yago Cunha,Masculino,Analista de Sistemas,11451.18,Casado,Provável Mal Pagador,Provável Pagador Regular
366,Heloísa da Conceição,Feminino,Gerente de Projetos,3491.51,Viúvo,Provável Mal Pagador,Provável Pagador Regular
367,Maria Fernanda Pires,Feminino,Publicitário,0.0,Divorciado,Provável Mal Pagador,Provável Pagador Regular
368,Pedro Henrique da Rosa,Masculino,Agente de Suporte,0.0,Divorciado,Provável Mal Pagador,Provável Pagador Regular
369,Cauê da Costa,Feminino,Desenvolvedor Front-End,3277.47,Divorciado,Provável Mal Pagador,Provável Pagador Regular
370,Ana Luiza Aragão,Masculino,Analista de Sistemas,0.0,Divorciado,Provável Mal Pagador,Provável Pagador Regular
371,Diego Martins,Masculino,Professor Universitário,0.0,Solteiro,Provável Mal Pagador,Provável Pagador Regular
372,Eduarda Silva,Masculino,Analista de Marketing,0.0,Solteiro,Provável Mal Pagador,Provável Pagador Regular
373,Manuela Costela,Masculino,Publicitário,16615.22,Solteiro,Provável Mal Pagador,Provável Pagador Regular
374,Dr. Enrico Freitas,Masculino,Médico Pediatra,16679.14,Solteiro,Provável Mal Pagador,Provável Pagador Regular
375,Breno Barros,Masculino,Psicólogo,0.0,Viúvo,Provável Mal Pagador,Provável Pagador Regular
376,Sr. Benjamin Azevedo,Masculino,Cientista de Dados,0.0,Solteiro,Provável Mal Pagador,Provável Pagador Regular
377,Emanuella Cardoso,Feminino,Assistente de RH,0.0,Divorciado,Provável Mal Pagador,Provável Pagador Regular
378,Davi Lucas Nunes,Feminino,Agente de Suporte,0.0,Solteiro,Provável Mal Pagador,Provável Pagador Regular
379,Anthony Teixeira,Feminino,Professor,5149.81,Casado,Provável Pagador Regular,Provável Pagador Regular
380,Sr. Arthur Moreira,Masculino,Eletricista,17530.84,Viúvo,Provável Pagador Regular,Provável Pagador Regular
381,João Vitor Correia,Feminino,Analista Financeiro,0.0,Casado,Provável Pagador Regular,Provável Pagador Regular
382,Emanuella Barbosa,Feminino,Engenheiro de Software,0.0,Viúvo,Provável Mal Pagador,Provável Pagador Regular
383,João Vitor Nascimento,Masculino,Assistente Administrativo,0.0,Divorciado,Provável Mal Pagador,Provável Pagador Regular
384,Elisa Costela,Masculino,Analista de Segurança da Informação,19449.94,Divorciado,Provável Mal Pagador,Provável Pagador Regular
385,André Aragão,Masculino,Enfermeiro,0.0,Solteiro,Provável Mal Pagador,Provável Pagador Regular
386,Leandro Alves,Feminino,Designer Gráfico,0.0,Viúvo,Provável Mal Pagador,Provável Pagador Regular
387,Paulo Oliveira,Feminino,Eletricista,13720.36,Solteiro,Provável Mal Pagador,Provável Pagador Regular
388,Sra. Juliana da Cunha,Masculino,Operador de Máquinas,19403.47,Solteiro,Provável Mal Pagador,Provável Pagador Regular
389,Maria Clara da Rocha,Feminino,Cozinheiro,0.0,Casado,Provável Mal Pagador,Provável Pagador Regular
390,Marina Duarte,Masculino,Analista Financeiro,17748.28,Divorciado,Provável Pagador Regular,Provável Pagador Regular
391,Giovanna das Neves,Feminino,Técnico de Enfermagem,16489.31,Casado,Provável Pagador Regular,Provável Pagador Regular
392,Lívia Duarte,Masculino,Engenheiro de Dados,8137.68,Solteiro,Provável Mal Pagador,Provável Pagador Regular
393,Joaquim da Cunha,Feminino,Desenvolvedor de Software,15217.15,Viúvo,Provável Pagador Regular,Provável Pagador Regular
394,Lara Ferreira,Feminino,Mecânico,5692.77,Casado,Provável Pagador Regular,Provável Pagador Regular
395,Maria Julia Jesus,Masculino,Engenheiro de Dados,6890.43,Solteiro,Provável Mal Pagador,Provável Pagador Regular
396,Esther Aragão,Feminino,Médico Pediatra,15447.54,Viúvo,Provável Mal Pagador,Provável Pagador Regular
397,Sophie Cunha,Feminino,Operador de Máquinas,0.0,Divorciado,Provável Pagador Regular,Provável Pagador Regular
398,Ana Clara Duarte,Feminino,Engenheiro de Software,0.0,Divorciado,Provável Mal Pagador,Provável Pagador Regular
399,Nina Souza,Masculino,Cientista de Dados,9795.06,Divorciado,Provável Mal Pagador,Provável Pagador Regular
400,Maria Luiza Silva,Masculino,Técnico de Informática,17426.03,Viúvo,Provável Mal Pagador,Provável Pagador Regular
401,Eduardo da Cruz,Feminino,Técnico de Enfermagem,17791.11,Divorciado,Provável Mal Pagador,Provável Pagador Regular
402,Pedro Moura,Masculino,Vendedor,0.0,Casado,Provável Mal Pagador,Provável Pagador Regular
403,Thomas das Neves,Feminino,Arquiteto,0.0,Divorciado,Provável Mal Pagador,Provável Pagador Regular
404,Samuel Barbosa,Feminino,Cozinheiro,17644.26,Solteiro,Provável Mal Pagador,Provável Pagador Regular
405,Rafaela Castro,Masculino,Professor Universitário,0.0,Solteiro,Provável Mal Pagador,Provável Pagador Regular
406,Maria Vitória Silveira,Masculino,Engenheiro Civil,10912.2,Solteiro,Provável Pagador Regular,Provável Pagador Regular
407,Sophie Peixoto,Feminino,Designer Gráfico,10948.88,Solteiro,Provável Mal Pagador,Provável Pagador Regular
408,Sophie Viana,Masculino,Técnico de Informática,0.0,Divorciado,Provável Mal Pagador,Provável Pagador Regular
409,Enzo Rodrigues,Masculino,Arquiteto,18795.76,Casado,Provável Pagador Regular,Provável Pagador Regular
410,Fernanda Peixoto,Feminino,Advogado,0.0,Divorciado,Provável Pagador Regular,Provável Pagador Regular
411,João Pedro da Rocha,Feminino,Analista Financeiro,0.0,Casado,Provável Mal Pagador,Provável Pagador Regular
412,Yuri Melo,Feminino,Desenvolvedor Back-End,4176.63,Casado,Provável Pagador Regular,Provável Pagador Regular
413,Breno Dias,Feminino,Professor Universitário,19281.6,Divorciado,Provável Mal Pagador,Provável Pagador Regular
414,Maria Clara da Rocha,Masculino,Eletricista,10813.8,Viúvo,Provável Pagador Regular,Provável Pagador Regular
415,Pedro Azevedo,Masculino,Professor,2847.06,Divorciado,Provável Pagador Regular,Provável Pagador Regular
416,Pedro Castro,Masculino,Desenvolvedor Back-End,13283.8,Casado,Provável Pagador Regular,Provável Pagador Regular
417,Manuela da Costa,Masculino,Advogado,15860.91,Casado,Provável Pagador Regular,Provável Pagador Regular
418,João Pedro da Cunha,Feminino,Vendedor,0.0,Solteiro,Provável Mal Pagador,Provável Pagador Regular
419,Alana Melo,Masculino,Engenheiro Civil,6704.88,Viúvo,Provável Pagador Regular,Provável Pagador Regular
420,Otávio Ribeiro,Feminino,Arquiteto,10634.63,Divorciado,Provável Mal Pagador,Provável Pagador Regular
421,Ian Cavalcanti,Feminino,Analista de Segurança da Informação,17570.74,Viúvo,Provável Mal Pagador,Provável Pagador Regular
422,Dr. Renan da Costa,Feminino,Vendedor,0.0,Solteiro,Provável Mal Pagador,Provável Pagador Regular
423,Ana Luiza Oliveira,Masculino,Desenvolvedor Back-End,0.0,Casado,Provável Mal Pagador,Provável Pagador Regular
424,Calebe Cunha,Feminino,Assistente Administrativo,18455.31,Casado,Provável Mal Pagador,Provável Pagador Regular
425,Luiz Gustavo Gomes,Feminino,Farmacêutico,0.0,Viúvo,Provável Mal Pagador,Provável Pagador Regular
426,Noah Pires,Feminino,Desenvolvedor Front-End,0.0,Divorciado,Provável Mal Pagador,Provável Pagador Regular
427,Natália Lopes,Masculino,Consultor de Vendas,0.0,Divorciado,Provável Mal Pagador,Provável Pagador Regular
428,Pedro Henrique Pereira,Feminino,Professor,0.0,Casado,Provável Mal Pagador,Provável Pagador Regular
429,Luiz Henrique Ramos,Masculino,Desenvolvedor Back-End,0.0,Solteiro,Provável Mal Pagador,Provável Pagador Regular
430,Pedro Miguel Santos,Masculino,Engenheiro de Software,4808.23,Divorciado,Provável Mal Pagador,Provável Pagador Regular
431,Maria Clara Araújo,Feminino,Psicólogo,0.0,Divorciado,Provável Mal Pagador,Provável Pagador Regular
432,Igor Ribeiro,Masculino,Assistente Administrativo,14482.0,Casado,Provável Mal Pagador,Provável Pagador Regular
433,Sr. João Vitor Gonçalves,Masculino,Eletricista,6698.89,Casado,Provável Mal Pagador,Provável Pagador Regular
434,Carlos Eduardo Gonçalves,Masculino,Psicólogo,0.0,Solteiro,Provável Mal Pagador,Provável Pagador Regular
435,Sra. Alícia Teixeira,Feminino,Médico Pediatra,0.0,Viúvo,Provável Mal Pagador,Provável Pagador Regular
436,Sabrina da Costa,Masculino,Cozinheiro,10755.38,Viúvo,Provável Mal Pagador,Provável Pagador Regular
437,Dr. João Gonçalves,Masculino,Publicitário,4010.55,Viúvo,Provável Mal Pagador,Provável Pagador Regular
438,Dr. Leonardo Caldeira,Masculino,Advogado,0.0,Divorciado,Provável Mal Pagador,Provável Pagador Regular
439,Milena Jesus,Masculino,Analista de Marketing,19420.25,Viúvo,Provável Pagador Regular,Provável Pagador Regular
440,Sra. Kamilly Pereira,Masculino,Mecânico,0.0,Viúvo,Provável Pagador Regular,Provável Pagador Regular
441,Sr. Benício Gonçalves,Feminino,Chefe de Cozinha,0.0,Solteiro,Provável Mal Pagador,Provável Pagador Regular
442,Samuel Barbosa,Feminino,Designer Gráfico,11487.91,Viúvo,Provável Mal Pagador,Provável Pagador Regular
443,Danilo Cavalcanti,Feminino,Psicólogo,16872.78,Divorciado,Provável Mal Pagador,Provável Pagador Regular
444,Bianca Vieira,Masculino,Assistente Administrativo,0.0,Divorciado,Provável Mal Pagador,Provável Pagador Regular
445,Igor Nogueira,Feminino,Analista de BI,0.0,Divorciado,Provável Pagador Regular,Provável Pagador Regular
446,Marcos Vinicius Cardoso,Masculino,Desenvolvedor Front-End,5030.26,Viúvo,Provável Mal Pagador,Provável Pagador Regular
447,Sra. Marcela Aragão,Masculino,Mecânico,0.0,Divorciado,Provável Mal Pagador,Provável Pagador Regular
448,Sr. Marcos Vinicius da Luz,Feminino,Chefe de Cozinha,5253.56,Divorciado,Provável Pagador Regular,Provável Pagador Regular
449,Isaac Carvalho,Masculino,Designer Gráfico,0.0,Casado,Provável Mal Pagador,Provável Pagador Regular
450,Sra. Helena Ferreira,Feminino,Recepcionista,0.0,Solteiro,Provável Mal Pagador,Provável Pagador Regular
451,Daniela Araújo,Masculino,Analista de Segurança da Informação,5366.41,Casado,Provável Mal Pagador,Provável Pagador Regular
452,Ana Sophia Pires,Masculino,Designer Gráfico,11601.77,Viúvo,Provável Pagador Regular,Provável Pagador Regular
453,Lorenzo Oliveira,Feminino,Analista de Marketing,10053.28,Divorciado,Provável Mal Pagador,Provável Pagador Regular
454,Thomas Farias,Feminino,Engenheiro de Software,0.0,Casado,Provável Mal Pagador,Provável Pagador Regular
455,Danilo Jesus,Feminino,Analista de Sistemas,0.0,Solteiro,Provável Mal Pagador,Provável Pagador Regular
456,Rebeca da Rocha,Masculino,Cientista de Dados,9482.63,Solteiro,Provável Pagador Regular,Provável Pagador Regular
457,Srta. Maria Fernanda da Rosa,Masculino,Técnico de Informática,0.0,Divorciado,Provável Mal Pagador,Provável Pagador Regular
458,Diogo Alves,Feminino,Agente de Suporte,0.0,Divorciado,Provável Pagador Regular,Provável Pagador Regular
459,Davi Lucas Cardoso,Feminino,Mecânico,0.0,Viúvo,Provável Mal Pagador,Provável Pagador Regular
460,Dr. Benício Oliveira,Feminino,Professor Universitário,0.0,Casado,Provável Mal Pagador,Provável Pagador Regular
461,Emanuella Nascimento,Feminino,Cientista de Dados,18607.21,Divorciado,Provável Mal Pagador,Provável Pagador Regular
462,Alexia Campos,Masculino,Publicitário,12465.94,Casado,Provável Mal Pagador,Provável Pagador Regular
463,Luana Oliveira,Masculino,Enfermeiro,0.0,Casado,Provável Mal Pagador,Provável Pagador Regular
464,Alícia Pires,Masculino,Arquiteto,0.0,Solteiro,Provável Mal Pagador,Provável Pagador Regular
465,Carolina Farias,Feminino,Desenvolvedor Back-End,0.0,Viúvo,Provável Mal Pagador,Provável Pagador Regular
466,Fernanda Gonçalves,Feminino,Chefe de Cozinha,5655.28,Viúvo,Provável Mal Pagador,Provável Pagador Regular
467,Luna Rocha,Feminino,Analista de Segurança da Informação,3221.64,Divorciado,Provável Mal Pagador,Provável Pagador Regular
468,Luna Mendes,Masculino,Arquiteto de Dados,0.0,Viúvo,Provável Pagador Regular,Provável Pagador Regular
469,Luiza Jesus,Masculino,Médico Pediatra,12259.91,Casado,Provável Pagador Regular,Provável Pagador Regular
470,Larissa Nunes,Feminino,Eletricista,4518.96,Solteiro,Provável Mal Pagador,Provável Pagador Regular
471,Bernardo Campos,Masculino,Médico Pediatra,0.0,Casado,Provável Pagador Regular,Provável Pagador Regular
472,Ana Júlia Cardoso,Feminino,Médico Pediatra,7152.65,Divorciado,Provável Mal Pagador,Provável Pagador Regular
473,Luana Rodrigues,Masculino,Arquiteto de Dados,0.0,Viúvo,Provável Mal Pagador,Provável Pagador Regular
474,Ana Vitória Nascimento,Feminino,Técnico de Enfermagem,0.0,Casado,Provável Mal Pagador,Provável Pagador Regular
475,Sophia Melo,Masculino,Cozinheiro,0.0,Viúvo,Provável Mal Pagador,Provável Pagador Regular
476,Benício da Paz,Masculino,Agente de Suporte,12791.26,Solteiro,Provável Mal Pagador,Provável Pagador Regular
